our-id,film-title,screening-date,doors,start,price,discounted,imdb-link,classification,main-image,alt-text,youtube,short-description,description
edukators,Edukators,2018-01-27,19:30:00,20:00:00,4,3,,15,resources/edukators.jpg,,https://www.youtube-nocookie.com/embed/UyT8bEa4XYA,,
enemy_within,Enemy Within,2016-01-15,19:30:00,20:00:00,4,3,,,resources/enemywithinbackdrop.jpg,,,,
force_majeure,Force Majeure,2018-12-07,19:30:00,20:00:00,4,3,,15,resources/forcemajeure3.jpg,,https://www.youtube-nocookie.com/embed/fjjzVbTBF8o,,
hands_up,Hands Up,2016-10-14,19:30:00,20:00:00,4,3,,,resources/handsupbackdrop.jpg,,https://www.youtube-nocookie.com/embed/Ji7ZlzNXpzI,,
hangmen_also_die,Hangmen Also Die,2016-02-26,,,,,,,resources/hangmenbackdrop.jpg,,,,
head_hunters,Head Hunters,2017-03-31,19:30:00,20:00:00,4,3,,PG,resources/headhuntersbackdrop.jpg,,https://www.youtube-nocookie.com/embed/5am704I0zkM,,
if,If,2016-11-11,19:30:00,20:00:00,4,3,,15,resources/ifbackground.jpg,,,,
intouchables,Intouchables,2015-12-18,19:30:00,20:00:00,4,3,,n/a,resources/intouchablesbackdrop.jpg,,,,
liberation_day,Liberation Day,2019-02-15,19:30:00,20:00:00,4,3,,n/a,resources/liberationday1.jpg,,https://www.youtube-nocookie.com/embed/WBuYjttUQn8,,
lobster,Lobster,2016-09-09,19:30:00,20:00:00,4,3,,15,resources/lobsterbackdrop.jpg,,,,
loneliness,The Loneliness of the Long Distance Runner,2018-11-02,19:30:00,20:00:00,4,3,,12,resources/loneliness4.jpg,,,,
man_with_a_movie_camera,Man With A Movie Camera,2019-10-04,19:30:00,20:00:00,4,3,,U,resources/manwithamoviecamerabackground.jpg,,https://www.youtube-nocookie.com/embed/BtTlgxtoqhg,,
memories,Memories,2017-09-30,19:30:00,20:00:00,4,3,,15,resources/memories.jpg,,https://www.youtube-nocookie.com/embed/dTnyhLywdJc,,
nae-pasaran,Nae Pasaran,2019-01-18,,,"For admission, please bring the value of a cinema ticket in non-perishable food and/or cash. ",,,15,resources/NaePasaranbackdrop.jpg,,https://www.youtube-nocookie.com/embed/VD6d0xKZNRg,,
kauwboy,Kauwboy,2019-03-15,,,,,,n/a,resources/kauwboybackdrop.jpg,,https://www.youtube-nocookie.com/embed/5U0PbNz19ng,,
russian_ark,Russian Ark,2019-12-06,19:30:00,20:00:00,4,3,,15,resources/RussianArk_1.jpg,"Russian Ark, A. Sokurov, Russia, 2002",https://www.youtube-nocookie.com/embed/ZV1kphEEXn8,"The first feature film shot in a single take, Russian Ark takes us through a museum to visit ghosts of the past, from a tyrannical Peter the Great to the doomed Tzar Nicholas II.  ","The first feature film shot in a single take, Russian Ark takes us through a museum to visit ghosts of the past, from a tyrannical Peter the Great to the doomed Tzar Nicholas II.

> *The movie's smooth voyage comes to seem like a dream play, suspended painlessly in time* - Village Voice

> *Despite an undeniable attraction to the majestic, Aleksandr Sokurov seems equally adverse to straightforward spectacle, approaching potentially colossal subjects from odd, specific angles.* - Slant Magazine

A bar will be open serving wines, beers, soft drinks and cake."
the_fall,The Fall,2015-09-18,19:30:00,20:00:00,4,3,,15,resources/fallbackdrop.jpg,,https://www.youtube-nocookie.com/embed/IwsYyRc9j4g?showinfo=0,,
the_return,The Return,2020-02-07,19:30:00,20:00:00,4,3,,12,resources/thereturn2.jpg,,https://www.youtube-nocookie.com/embed/mEKp-Ort7hU,Two brothers are taken by a father they only knew from a single photograph on a journey into the wilderness&hellip,
troll_hunter,Troll Hunter,2016-03-18,19:30:00,20:00:00,4,3,,,resources/trollhunterbackdrop.jpg,,,,
two_days,Two Days,2015-11-20,19:30:00,20:00:00,4,3,,,resources/twodaysbackdrop.jpg,,,,
wasteland,Wasteland,2017-01-13,19:30:00,20:00:00,4,3,,,resources/wastelandbackdrop.jpg,,https://www.youtube-nocookie.com/embed/sNlwh8vT2NU,,
